4.414166667,361320,6120,361320
5.414166667,717266,6030,355946
6.414166667,1065082,5950,347816
7.414166667,1408106,5890,343024
8.414166667,1732881,5800,324775
9.414166667,2053471,5720,320590
10.41416667,2364713,5640,311242
11.41416667,2672782,5580,308069
12.41416667,2968463,5510,295681
13.41416667,3256359,5430,287896
14.89866667,273807,4640,273807
15.89866667,546812,4560,273005
16.89866667,817704,4490,270892
17.89866667,1056310,4440,238606
18.89866667,1307654,4370,251344
19.89866667,1551975,4310,244321
20.89866667,1786366,4250,234391
21.89866667,2014341,4200,227975
22.89866667,2236728,4140,222387
23.89866667,2452637,4090,215909
25.344,207392,3520,207392
26.344,410776,3450,203384
27.344,607678,3390,196902
28.344,799953,3350,192275
29.344,986809,3300,186856
30.344,1169392,3260,182583
31.344,1346291,3210,176899
32.344,1518274,3170,171983
33.344,1685792,3130,167518
34.344,1848358,3090,162566
35.88116667,155447,2630,155447
36.88116667,308114,2590,152667
37.88116667,456369,2550,148255
38.88116667,600281,2510,143912
39.88116667,742903,2480,142622
40.88116667,877947,2450,135044
41.88116667,1010918,2410,132971
42.88116667,1140506,2380,129588
43.88116667,1265044,2350,124538
44.88116667,1389567,2320,124523
46.385,117759,1960,117759
47.385,230952,1940,113193
48.385,343836,1910,112884
49.385,450885,1890,107049
50.385,556494,1860,105609
51.385,661094,1840,104600
52.385,760245,1810,99151
53.385,858528,1790,98283
54.385,952034,1770,93506
55.385,1044939,1740,92905
56.37583333,89394,1490,89394
57.37583333,175435,1460,86041
58.37583333,258385,1440,82950
59.37583333,341101,1420,82716
60.37583333,420763,1400,79662
61.37583333,499833,1380,79070
62.37583333,574387,1370,74554
63.37583333,647620,1350,73233
64.37583333,720247,1330,72627
65.37583333,788436,,68189
