,count,rate,
3.414166667,0,0,
4.414166667,361320,6.12E+03,361320
5.414166667,717266,6.03E+03,355946
6.414166667,1065082,5.95E+03,347816
7.414166667,1408106,5.89E+03,343024
8.414166667,1732881,5.80E+03,324775
9.414166667,2053471,5.72E+03,320590
10.41416667,2364713,5.64E+03,311242
11.41416667,2672782,5.58E+03,308069
12.41416667,2968463,5.51E+03,295681
13.41416667,3256359,5.43E+03,287896
